Epoch: 0, Train Loss: 0.06198416018428711, Valid Loss: 0.04107953935410037
Epoch: 1, Train Loss: 0.03286562795535876, Valid Loss: 0.04107953935410037
Epoch: 2, Train Loss: 0.020509108098653646, Valid Loss: 0.04107953935410037
Epoch: 3, Train Loss: 0.017566055303009656, Valid Loss: 0.017417315224354916
Epoch: 4, Train Loss: 0.016113482852681327, Valid Loss: 0.017417315224354916
Epoch: 5, Train Loss: 0.015222717449069023, Valid Loss: 0.017417315224354916
Epoch: 6, Train Loss: 0.013984726276248693, Valid Loss: 0.014596902003342455
Epoch: 7, Train Loss: 0.01184358038008213, Valid Loss: 0.014596902003342455
Epoch: 8, Train Loss: 0.01033588142779011, Valid Loss: 0.014596902003342455
Epoch: 9, Train Loss: 0.009851099256999217, Valid Loss: 0.01090358163822781
Epoch: 10, Train Loss: 0.009286381529930693, Valid Loss: 0.01090358163822781
Epoch: 11, Train Loss: 0.008881715831991571, Valid Loss: 0.01090358163822781
Epoch: 12, Train Loss: 0.008594507304951548, Valid Loss: 0.00964365525622711
Epoch: 13, Train Loss: 0.008393883389922288, Valid Loss: 0.00964365525622711
Epoch: 14, Train Loss: 0.008253879812904276, Valid Loss: 0.00964365525622711
Epoch: 15, Train Loss: 0.008025588238468537, Valid Loss: 0.009074575465285417
Epoch: 16, Train Loss: 0.007719759843670405, Valid Loss: 0.009074575465285417
Epoch: 17, Train Loss: 0.007765013076221713, Valid Loss: 0.009074575465285417
Epoch: 18, Train Loss: 0.0074728277404434405, Valid Loss: 0.008784784850749102
Epoch: 19, Train Loss: 0.007317023133285917, Valid Loss: 0.008784784850749102
Epoch: 20, Train Loss: 0.007138584113608186, Valid Loss: 0.008784784850749102
Epoch: 21, Train Loss: 0.007091174328413147, Valid Loss: 0.008620631175510811
Epoch: 22, Train Loss: 0.0069425482696925216, Valid Loss: 0.008620631175510811
Epoch: 23, Train Loss: 0.006937729244908461, Valid Loss: 0.008620631175510811
Epoch: 24, Train Loss: 0.006858773518783542, Valid Loss: 0.00856250012293458
Epoch: 25, Train Loss: 0.006696775111441428, Valid Loss: 0.00856250012293458
Epoch: 26, Train Loss: 0.006632808219784727, Valid Loss: 0.00856250012293458
Epoch: 27, Train Loss: 0.006594686242393576, Valid Loss: 0.008508612557003895
Epoch: 28, Train Loss: 0.006564905369081176, Valid Loss: 0.008508612557003895
Epoch: 29, Train Loss: 0.006482650704968434, Valid Loss: 0.008508612557003895
Epoch: 30, Train Loss: 0.006366488749447924, Valid Loss: 0.009210877755487507
Epoch: 31, Train Loss: 0.006556341399510319, Valid Loss: 0.009210877755487507
Epoch: 32, Train Loss: 0.006277010421483563, Valid Loss: 0.009210877755487507
Epoch: 33, Train Loss: 0.00632165394938336, Valid Loss: 0.008797974622046406
Epoch: 34, Train Loss: 0.006169102126016067, Valid Loss: 0.008797974622046406
Epoch: 35, Train Loss: 0.006082630171798743, Valid Loss: 0.008797974622046406
Epoch: 36, Train Loss: 0.006034854541604335, Valid Loss: 0.008597117114925024
Epoch: 37, Train Loss: 0.006001841520460753, Valid Loss: 0.008597117114925024
Epoch: 38, Train Loss: 0.005984091192770463, Valid Loss: 0.008597117114925024
Epoch: 39, Train Loss: 0.005941564865553609, Valid Loss: 0.008654073685068975
Epoch: 40, Train Loss: 0.005918772217745965, Valid Loss: 0.008654073685068975
Epoch: 41, Train Loss: 0.005838213133840607, Valid Loss: 0.008654073685068975
Early stopping triggered!
