Epoch: 82, Train Loss: 688.3171982985276, Valid Loss: 690.680458762429
Epoch: 83, Train Loss: 688.6011331411509, Valid Loss: 690.680458762429
Epoch: 84, Train Loss: 690.3977139986479, Valid Loss: 703.4457970821496
Epoch: 85, Train Loss: 686.6100210336539, Valid Loss: 703.4457970821496
Epoch: 86, Train Loss: 688.0355844350961, Valid Loss: 703.4457970821496
Epoch: 87, Train Loss: 684.856489445613, Valid Loss: 687.6967939897017
Epoch: 88, Train Loss: 688.2662567138672, Valid Loss: 687.6967939897017
Epoch: 89, Train Loss: 685.735376563439, Valid Loss: 687.6967939897017
Epoch: 90, Train Loss: 685.6223304161658, Valid Loss: 687.0981408321496
Epoch: 91, Train Loss: 685.0054950420673, Valid Loss: 687.0981408321496
Epoch: 92, Train Loss: 683.9605447622446, Valid Loss: 687.0981408321496
Epoch: 93, Train Loss: 685.5037898137019, Valid Loss: 692.022715250651
Epoch: 94, Train Loss: 685.0753065842848, Valid Loss: 692.022715250651
Epoch: 95, Train Loss: 685.8976675180288, Valid Loss: 692.022715250651
Epoch: 96, Train Loss: 685.2081523014949, Valid Loss: 683.9719303015506
Epoch: 97, Train Loss: 683.2925393911509, Valid Loss: 683.9719303015506
Epoch: 98, Train Loss: 684.1514739990234, Valid Loss: 683.9719303015506
Epoch: 99, Train Loss: 681.2565056434045, Valid Loss: 686.4258663293087
